dept_no,emp_no,first_name,last_name,dept_name
d005,10001,Georgi,Facello,Development
d005,10018,Kazuhide,Peha,Development
d007,10053,Sanjiv,Zschoche,Sales
d005,10066,Kwee,Schusler,Development
d005,10070,Reuven,Garigliano,Development
d005,10072,Hironoby,Sidou,Development
d005,10076,Erez,Ritzmann,Development
d007,10088,Jungsoon,Syrzycki,Sales
d005,10103,Akemi,Birch,Development
d005,10116,Dayanand,Czap,Development
d005,10129,Armond,Peir,Development
d005,10134,Diederik,Siprelle,Development
d007,10149,Xiadong,Perry,Sales
d005,10150,Zhenbing,Perng,Development
d005,10153,Heekeun,Majewski,Development
d005,10157,Nigel,Aloisi,Development
d005,10198,Pranav,Furedi,Development
d007,10215,Xiaobin,Duclos,Sales
d005,10258,Basil,Ishibashi,Development
d005,10283,Kauko,Birjandi,Development
d007,10302,Faiza,Baer,Sales
d005,10305,Hirochika,Piancastelli,Development
d005,10327,Roded,Facello,Development
d007,10355,Satyanarayana,Cochrane,Sales
d005,10395,Takahiro,Deverell,Development
d005,10396,Sibyl,Rahier,Development
d005,10404,Prodip,Rosti,Development
d005,10426,Arunas,Luce,Development
d005,10429,Martien,Improta,Development
d007,10442,Volkmar,Unno,Sales
d007,10463,Ung,Zaiane,Sales
d007,10504,Xiong,Varker,Sales
d005,10519,Yonghoan,Alencar,Development
d005,10538,Przemyslawa,Falby,Development
d007,10541,Godehard,Eiter,Sales
d007,10548,Ramalingam,Gunderson,Sales
d005,10623,Aleksander,Danlos,Development
d005,10628,Krisda,Krogh,Development
d007,10629,Lalit,Francisci,Sales
d005,10631,Inderjeet,Chaudhuri,Development
d005,10642,Hirochika,Narlikar,Development
d005,10653,Otmar,Feinberg,Development
d005,10676,Valeri,Danley,Development
d005,10702,Bader,Szemeredi,Development
d005,10718,Adib,Rullman,Development
d005,10726,Zita,Minakawa,Development
d005,10751,Jordanka,Ushiama,Development
d007,10767,Monique,Doering,Sales
d005,10791,Tadahiko,Sgarro,Development
d007,10795,Supot,Naudin,Sales
d005,10808,Chenxi,Leijenhorst,Development
d007,10836,Jianhua,Leivant,Sales
d005,10844,Dipayan,Koprowski,Development
d007,10878,Lakshmi,Deville,Sales
d005,10879,Muzhong,Chleq,Development
d007,10895,Vishwani,Petersohn,Sales
d005,10909,Georgi,Atchley,Development
d007,10924,Hironoby,Atchley,Sales
d005,10943,Berna,Skafidas,Development
d007,10965,Eckart,Braunschweig,Sales
d005,10969,Premal,Noriega,Development
d005,10974,Muneo,Papsdorf,Development
d005,10986,Masako,Schiper,Development
d005,10988,Chinya,Deyuan,Development
d005,10990,Shin,Foote,Development
d007,11009,Alper,Axelband,Sales
d005,11019,Leon,Huttel,Development
d005,11042,Gou,Breugel,Development
d007,11048,Jaques,Demke,Sales
d005,11106,Aris,Iwayama,Development
d005,11121,Vugranam,Kakkad,Development
d005,11137,Hugh,Luca,Development
d007,11146,Ishfaq,Masand,Sales
d005,11162,Kauko,Narlikar,Development
d005,11180,Mitsuyuki,Bojadziev,Development
d007,11197,Tadahiro,Fordan,Sales
d005,11207,Saeed,Gips,Development
d005,11240,Kiam,Condotta,Development
d005,11249,Randi,Cyre,Development
d005,11275,Hitomi,Eppinger,Development
d005,11290,Visit,Dredge,Development
d005,11291,Gino,Glowinski,Development
d005,11319,Pranas,Marrakchi,Development
d007,11338,Kwangsub,Hanratty,Sales
d005,11347,Anneli,Jonsson,Development
d005,11380,Kenroku,Pelc,Development
d005,11404,Bedrich,Borovoy,Development
d007,11441,Marlo,Aingworth,Sales
d007,11506,Rance,Picel,Sales
d005,11509,Aleksander,Feldhoffer,Development
d007,11515,Ulf,Basawa,Sales
d005,11524,Xiadong,Standera,Development
d007,11537,DAIDA,Pehl,Sales
d007,11567,Teiji,Mitzlaff,Sales
d005,11568,Martins,Fujisaki,Development
d007,11615,Shem,Isaak,Sales
d005,11628,Fan,Malinowski,Development
d005,11640,Valeri,Coorg,Development
d005,11647,Magy,Nitsche,Development
d007,11660,Gill,Stenning,Sales
d007,11696,Dante,Rothe,Sales
d007,11746,Koichi,Marrakchi,Sales
d007,11747,Aksel,Kossowski,Sales
d005,11769,Chandrasekaran,Lampe,Development
d005,11772,Gaurav,Penz,Development
d007,11797,Chenxi,Thambidurai,Sales
d005,11805,Rosine,Grandbois,Development
d005,11810,Amabile,Bhattacharjee,Development
d007,11813,Gita,Muhlberg,Sales
d007,11817,Niranjan,Markovitch,Sales
d005,11832,Arto,Zlotek,Development
d007,11838,Taiji,Nitta,Sales
d005,11844,Shawna,Demeyer,Development
d007,11857,Divier,Farrag,Sales
d005,11871,Nalini,Sommen,Development
d005,11894,Mitchel,Validov,Development
d007,11897,Cordelia,Setlzner,Sales
d005,11906,Hideo,Boguraev,Development
d005,11933,Basil,Erman,Development
d005,11983,Jaana,Hedayat,Development
d005,11988,Chinya,Chinin,Development
d007,12011,Zhilian,Coorg,Sales
d005,12033,Visit,Serot,Development
d007,12036,Mads,Ratzlaff,Sales
d005,12052,Masako,Khasidashvili,Development
d005,12069,Ayonca,Burnard,Development
d005,12070,Ger,Shokrollahi,Development
d007,12076,Karlis,Siprelle,Sales
d007,12082,Xinan,Yamaashi,Sales
d005,12087,Weijing,Jumpertz,Development
d007,12099,Nobuyoshi,Kuzuoka,Sales
d005,12125,Shounak,Erman,Development
d007,12128,Yannik,Barreiro,Sales
d007,12149,Suebskul,Grandbois,Sales
d005,12159,Shem,Perly,Development
d005,12165,Xiaobin,Maquelin,Development
d005,12205,Sushant,Rossi,Development
d005,12206,Barton,Janetzko,Development
d005,12221,Vincent,Melter,Development
d005,12247,Subbu,Penttonen,Development
d005,12249,Eldridge,Sadowski,Development
d005,12264,Mart,Pagter,Development
d005,12274,Garnik,Papadias,Development
d005,12276,Yongmin,Lenart,Development
d005,12311,Susanne,Lubachevsky,Development
d005,12327,DAIDA,Bruckman,Development
d005,12341,Rasiah,Luga,Development
